"instance" "vertices" "strategy" "iterations" "guards" "preProcTime(s)" "procTime(s)" "totalTime(s)"
"randsimple-20-17" 20 "All Vertices" 2 3 0.06 0.01 0.07
"randsimple-20-30" 20 "All Vertices" 3 3 0.06 0.02 0.07
"randsimple-20-25" 20 "All Vertices" 2 4 0.06 0.02 0.07
"randsimple-20-24" 20 "All Vertices" 1 3 0.06 0.01 0.06
"randsimple-20-26" 20 "All Vertices" 1 3 0.05 0.01 0.06
"randsimple-20-3" 20 "All Vertices" 3 4 0.05 0.02 0.07
"randsimple-20-11" 20 "All Vertices" 1 2 0.06 0 0.06
"randsimple-20-16" 20 "All Vertices" 6 4 0.06 0.04 0.1
"randsimple-20-23" 20 "All Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-20" 20 "All Vertices" 1 3 0.06 0 0.06
"randsimple-20-1" 20 "All Vertices" 3 4 0.06 0.02 0.07
"randsimple-20-19" 20 "All Vertices" 1 3 0.06 0.01 0.06
"randsimple-20-6" 20 "All Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-27" 20 "All Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-15" 20 "All Vertices" 1 3 0.05 0.01 0.06
"randsimple-20-14" 20 "All Vertices" 2 4 0.06 0.01 0.07
"randsimple-20-13" 20 "All Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-21" 20 "All Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-22" 20 "All Vertices" 1 4 0.06 0.01 0.06
"randsimple-20-18" 20 "All Vertices" 1 4 0.06 0.01 0.06
"randsimple-20-7" 20 "All Vertices" 1 3 0.06 0 0.06
"randsimple-20-5" 20 "All Vertices" 2 3 0.06 0.01 0.06
"randsimple-20-9" 20 "All Vertices" 1 3 0.06 0 0.06
"randsimple-20-4" 20 "All Vertices" 2 4 0.06 0.02 0.07
"randsimple-20-29" 20 "All Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-8" 20 "All Vertices" 1 2 0.06 0 0.06
"randsimple-20-10" 20 "All Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-2" 20 "All Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-12" 20 "All Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-28" 20 "All Vertices" 1 3 0.06 0 0.06
"randsimple-20-12" 20 "Convex Vertices" 4 4 0.05 0.03 0.08
"randsimple-20-1" 20 "Convex Vertices" 3 4 0.06 0.02 0.07
"randsimple-20-22" 20 "Convex Vertices" 1 4 0.06 0.01 0.06
"randsimple-20-13" 20 "Convex Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-27" 20 "Convex Vertices" 6 4 0.06 0.03 0.09
"randsimple-20-20" 20 "Convex Vertices" 1 3 0.05 0 0.06
"randsimple-20-25" 20 "Convex Vertices" 2 4 0.06 0.02 0.07
"randsimple-20-30" 20 "Convex Vertices" 3 3 0.05 0.02 0.07
"randsimple-20-14" 20 "Convex Vertices" 2 4 0.05 0.01 0.06
"randsimple-20-3" 20 "Convex Vertices" 2 4 0.06 0.01 0.07
"randsimple-20-26" 20 "Convex Vertices" 1 3 0.06 0 0.06
"randsimple-20-7" 20 "Convex Vertices" 1 3 0.06 0 0.06
"randsimple-20-9" 20 "Convex Vertices" 1 3 0.06 0 0.06
"randsimple-20-23" 20 "Convex Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-18" 20 "Convex Vertices" 1 4 0.06 0.01 0.06
"randsimple-20-2" 20 "Convex Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-5" 20 "Convex Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-16" 20 "Convex Vertices" 5 4 0.06 0.03 0.09
"randsimple-20-28" 20 "Convex Vertices" 1 3 0.06 0 0.06
"randsimple-20-10" 20 "Convex Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-29" 20 "Convex Vertices" 3 4 0.06 0.02 0.08
"randsimple-20-15" 20 "Convex Vertices" 1 3 0.06 0 0.06
"randsimple-20-17" 20 "Convex Vertices" 2 3 0.06 0.01 0.07
"randsimple-20-19" 20 "Convex Vertices" 1 3 0.06 0.01 0.06
"randsimple-20-24" 20 "Convex Vertices" 1 3 0.06 0.01 0.06
"randsimple-20-21" 20 "Convex Vertices" 2 4 0.06 0.01 0.07
"randsimple-20-6" 20 "Convex Vertices" 2 3 0.05 0.01 0.06
"randsimple-20-8" 20 "Convex Vertices" 1 2 0.06 0 0.06
"randsimple-20-4" 20 "Convex Vertices" 2 4 0.06 0.02 0.07
"randsimple-20-11" 20 "Convex Vertices" 1 2 0.06 0 0.06
"randsimple-20-15" 20 "Shadow AVPs" 1 3 0.1 0 0.1
"randsimple-20-23" 20 "Shadow AVPs" 1 3 0.09 0 0.09
"randsimple-20-30" 20 "Shadow AVPs" 1 3 0.09 0 0.09
"randsimple-20-24" 20 "Shadow AVPs" 1 3 0.13 0.01 0.14
"randsimple-20-27" 20 "Shadow AVPs" 1 4 0.1 0.01 0.1
"randsimple-20-22" 20 "Shadow AVPs" 1 4 0.14 0.01 0.14
"randsimple-20-26" 20 "Shadow AVPs" 1 3 0.09 0 0.1
"randsimple-20-10" 20 "Shadow AVPs" 1 3 0.09 0 0.09
"randsimple-20-9" 20 "Shadow AVPs" 1 3 0.09 0.01 0.1
"randsimple-20-7" 20 "Shadow AVPs" 1 3 0.1 0 0.1
"randsimple-20-19" 20 "Shadow AVPs" 1 3 0.12 0.01 0.12
"randsimple-20-12" 20 "Shadow AVPs" 1 4 0.1 0 0.1
"randsimple-20-29" 20 "Shadow AVPs" 1 4 0.11 0.01 0.12
"randsimple-20-1" 20 "Shadow AVPs" 1 4 0.1 0 0.11
"randsimple-20-16" 20 "Shadow AVPs" 1 4 0.1 0.01 0.11
"randsimple-20-14" 20 "Shadow AVPs" 1 4 0.09 0.01 0.1
"randsimple-20-20" 20 "Shadow AVPs" 1 3 0.1 0.01 0.1
"randsimple-20-18" 20 "Shadow AVPs" 1 4 0.13 0.01 0.14
"randsimple-20-3" 20 "Shadow AVPs" 1 4 0.1 0.01 0.1
"randsimple-20-21" 20 "Shadow AVPs" 1 4 0.11 0.01 0.12
"randsimple-20-6" 20 "Shadow AVPs" 1 3 0.1 0.01 0.1
"randsimple-20-8" 20 "Shadow AVPs" 1 2 0.12 0 0.13
"randsimple-20-4" 20 "Shadow AVPs" 1 4 0.11 0.01 0.12
"randsimple-20-28" 20 "Shadow AVPs" 1 3 0.11 0 0.12
"randsimple-20-17" 20 "Shadow AVPs" 1 3 0.14 0 0.14
"randsimple-20-5" 20 "Shadow AVPs" 1 3 0.1 0 0.1
"randsimple-20-2" 20 "Shadow AVPs" 1 4 0.11 0.01 0.12
"randsimple-20-11" 20 "Shadow AVPs" 1 2 0.12 0 0.13
"randsimple-20-13" 20 "Shadow AVPs" 1 3 0.1 0 0.1
"randsimple-20-25" 20 "Shadow AVPs" 1 4 0.11 0.01 0.12
"randsimple-20-15" 20 "Single Vertex" 4 3 0.05 0.02 0.07
"randsimple-20-14" 20 "Single Vertex" 4 4 0.05 0.02 0.07
"randsimple-20-3" 20 "Single Vertex" 7 4 0.05 0.03 0.08
"randsimple-20-5" 20 "Single Vertex" 6 3 0.05 0.02 0.08
"randsimple-20-24" 20 "Single Vertex" 4 3 0.05 0.02 0.07
"randsimple-20-17" 20 "Single Vertex" 5 3 0.06 0.02 0.08
"randsimple-20-1" 20 "Single Vertex" 4 4 0.06 0.02 0.07
"randsimple-20-12" 20 "Single Vertex" 6 4 0.06 0.03 0.09
"randsimple-20-18" 20 "Single Vertex" 5 4 0.05 0.03 0.08
"randsimple-20-23" 20 "Single Vertex" 5 3 0.05 0.02 0.08
"randsimple-20-25" 20 "Single Vertex" 6 4 0.05 0.04 0.09
"randsimple-20-4" 20 "Single Vertex" 7 4 0.06 0.04 0.1
"randsimple-20-6" 20 "Single Vertex" 4 3 0.05 0.02 0.07
"randsimple-20-9" 20 "Single Vertex" 3 3 0.05 0.01 0.06
"randsimple-20-11" 20 "Single Vertex" 3 2 0.06 0.01 0.06
"randsimple-20-21" 20 "Single Vertex" 10 4 0.06 0.04 0.1
"randsimple-20-28" 20 "Single Vertex" 6 3 0.05 0.02 0.07
"randsimple-20-13" 20 "Single Vertex" 7 3 0.05 0.02 0.08
"randsimple-20-2" 20 "Single Vertex" 8 4 0.06 0.04 0.1
"randsimple-20-22" 20 "Single Vertex" 3 4 0.06 0.02 0.08
"randsimple-20-19" 20 "Single Vertex" 4 3 0.06 0.02 0.07
"randsimple-20-27" 20 "Single Vertex" 6 4 0.05 0.03 0.08
"randsimple-20-16" 20 "Single Vertex" 8 4 0.05 0.05 0.1
"randsimple-20-20" 20 "Single Vertex" 6 3 0.06 0.02 0.08
"randsimple-20-7" 20 "Single Vertex" 5 3 0.06 0.02 0.08
"randsimple-20-10" 20 "Single Vertex" 6 3 0.05 0.02 0.08
"randsimple-20-30" 20 "Single Vertex" 5 3 0.05 0.02 0.07
"randsimple-20-26" 20 "Single Vertex" 5 3 0.06 0.02 0.08
"randsimple-20-29" 20 "Single Vertex" 5 4 0.06 0.03 0.08
"randsimple-20-8" 20 "Single Vertex" 4 2 0.05 0.02 0.07
"randsimple-40-20" 40 "All Vertices" 3 7 0.2 0.04 0.24
"randsimple-40-7" 40 "All Vertices" 2 6 0.19 0.02 0.22
"randsimple-40-11" 40 "All Vertices" 1 7 0.2 0.02 0.22
"randsimple-40-25" 40 "All Vertices" 1 6 0.2 0.02 0.21
"randsimple-40-12" 40 "All Vertices" 1 5 0.21 0.01 0.22
"randsimple-40-5" 40 "All Vertices" 2 5 0.2 0.02 0.22
"randsimple-40-13" 40 "All Vertices" 1 6 0.2 0.02 0.22
"randsimple-40-19" 40 "All Vertices" 3 5 0.2 0.04 0.23
"randsimple-40-1" 40 "All Vertices" 2 7 0.19 0.04 0.22
"randsimple-40-15" 40 "All Vertices" 3 7 0.21 0.05 0.26
"randsimple-40-18" 40 "All Vertices" 2 5 0.23 0.03 0.26
"randsimple-40-21" 40 "All Vertices" 2 6 0.2 0.03 0.23
"randsimple-40-30" 40 "All Vertices" 2 7 0.2 0.03 0.23
"randsimple-40-26" 40 "All Vertices" 2 7 0.2 0.03 0.23
"randsimple-40-14" 40 "All Vertices" 3 6 0.2 0.05 0.25
"randsimple-40-3" 40 "All Vertices" 2 6 0.2 0.03 0.22
"randsimple-40-28" 40 "All Vertices" 3 5 0.22 0.04 0.26
"randsimple-40-16" 40 "All Vertices" 2 6 0.19 0.03 0.22
"randsimple-40-24" 40 "All Vertices" 1 6 0.19 0.02 0.2
"randsimple-40-2" 40 "All Vertices" 3 6 0.19 0.04 0.23
"randsimple-40-22" 40 "All Vertices" 3 8 0.19 0.04 0.24
"randsimple-40-23" 40 "All Vertices" 6 8 0.2 0.08 0.28
"randsimple-40-29" 40 "All Vertices" 1 5 0.2 0.01 0.21
"randsimple-40-27" 40 "All Vertices" 2 5 0.19 0.02 0.22
"randsimple-40-4" 40 "All Vertices" 1 6 0.2 0.02 0.22
"randsimple-40-17" 40 "All Vertices" 3 6 0.19 0.04 0.23
"randsimple-40-10" 40 "All Vertices" 1 6 0.19 0.02 0.21
